"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,182,"PRT","Portugal",1,"Évora",1,"Évora","PT.EV.EV",NA,"0705","Concelho","Municipality","",""
2,182,"PRT","Portugal",1,"Évora",2,"Alandroal","PT.EV.AL",NA,"0701","Concelho","Municipality","",""
3,182,"PRT","Portugal",1,"Évora",3,"Arraiolos","PT.EV.AR",NA,"0702","Concelho","Municipality","",""
4,182,"PRT","Portugal",1,"Évora",4,"Borba","PT.EV.BO",NA,"0703","Concelho","Municipality","",""
5,182,"PRT","Portugal",1,"Évora",5,"Estremoz","PT.EV.ES",NA,"0704","Concelho","Municipality","",""
6,182,"PRT","Portugal",1,"Évora",6,"Montemor-o-Novo","PT.EV.MN",NA,"0706","Concelho","Municipality","",""
7,182,"PRT","Portugal",1,"Évora",7,"Mora","PT.EV.MR",NA,"0707","Concelho","Municipality","",""
8,182,"PRT","Portugal",1,"Évora",8,"Mourão","PT.EV.MO",NA,"0708","Concelho","Municipality","",""
9,182,"PRT","Portugal",1,"Évora",9,"Portel","PT.EV.PO",NA,"0709","Concelho","Municipality","",""
10,182,"PRT","Portugal",1,"Évora",10,"Redondo","PT.EV.RD",NA,"0710","Concelho","Municipality","",""
11,182,"PRT","Portugal",1,"Évora",11,"Reguengos de Monsaraz","PT.EV.RM",NA,"0711","Concelho","Municipality","",""
12,182,"PRT","Portugal",1,"Évora",12,"Vendas Novas","PT.EV.VN",NA,"0712","Concelho","Municipality","",""
13,182,"PRT","Portugal",1,"Évora",13,"Viana do Alentejo","PT.EV.VA",NA,"0713","Concelho","Municipality","",""
14,182,"PRT","Portugal",1,"Évora",14,"Vila Viçosa","PT.EV.VV",NA,"0714","Concelho","Municipality","",""
15,182,"PRT","Portugal",2,"Aveiro",15,"Águeda","PT.AV.AG",NA,"0101","Concelho","Municipality","",""
16,182,"PRT","Portugal",2,"Aveiro",16,"Ílhavo","PT.AV.IL",NA,"0110","Concelho","Municipality","",""
17,182,"PRT","Portugal",2,"Aveiro",17,"Albergaria-a-Velha","PT.AV.AL",NA,"0102","Concelho","Municipality","",""
18,182,"PRT","Portugal",2,"Aveiro",18,"Anadia","PT.AV.AN",NA,"0103","Concelho","Municipality","",""
19,182,"PRT","Portugal",2,"Aveiro",19,"Arouca","PT.AV.AR",NA,"0104","Concelho","Municipality","",""
20,182,"PRT","Portugal",2,"Aveiro",20,"Aveiro","PT.AV.AV",NA,"0105","Concelho","Municipality","",""
21,182,"PRT","Portugal",2,"Aveiro",21,"Castelo de Paiva","PT.AV.CP",NA,"0106","Concelho","Municipality","",""
22,182,"PRT","Portugal",2,"Aveiro",22,"Espinho","PT.AV.EN",NA,"0107","Concelho","Municipality","",""
23,182,"PRT","Portugal",2,"Aveiro",23,"Estarreja","PT.AV.ER",NA,"0108","Concelho","Municipality","",""
24,182,"PRT","Portugal",2,"Aveiro",24,"Mealhada","PT.AV.ME",NA,"0111","Concelho","Municipality","",""
25,182,"PRT","Portugal",2,"Aveiro",25,"Murtosa","PT.AV.MU",NA,"0112","Concelho","Municipality","",""
26,182,"PRT","Portugal",2,"Aveiro",26,"Oliveira de Azeméis","PT.AV.OA",NA,"0113","Concelho","Municipality","",""
27,182,"PRT","Portugal",2,"Aveiro",27,"Oliveira do Bairro","PT.AV.OB",NA,"0114","Concelho","Municipality","",""
28,182,"PRT","Portugal",2,"Aveiro",28,"Ovar","PT.AV.OV",NA,"0115","Concelho","Municipality","",""
29,182,"PRT","Portugal",2,"Aveiro",29,"São João da Madeira","PT.AV.SJ",NA,"0116","Concelho","Municipality","",""
30,182,"PRT","Portugal",2,"Aveiro",30,"Santa Maria da Feira","PT.AV.SM",NA,"0109","Concelho","Municipality","","Feira"
31,182,"PRT","Portugal",2,"Aveiro",31,"Sever do Vouga","PT.AV.SV",NA,"0117","Concelho","Municipality","",""
32,182,"PRT","Portugal",2,"Aveiro",32,"Vagos","PT.AV.VG",NA,"0118","Concelho","Municipality","",""
33,182,"PRT","Portugal",2,"Aveiro",33,"Vale de Cambra","PT.AV.VC",NA,"0119","Concelho","Municipality","",""
34,182,"PRT","Portugal",3,"Azores",34,"Angra do Heroísmo","PT.AC.AH",NA,"","Concelho","Municipality","'<U+0250>~g<U+027E><U+0250> du e<U+027E>u'i<U+0292>mu","Angra"
35,182,"PRT","Portugal",3,"Azores",35,"Calheta","PT.AC.CA",NA,"","Concelho","Municipality","",""
36,182,"PRT","Portugal",3,"Azores",36,"Corvo","PT.AC.CO",NA,"","Concelho","Municipality","","Korvu"
37,182,"PRT","Portugal",3,"Azores",37,"Horta","PT.AC.HO",NA,"","Concelho","Municipality","",""
38,182,"PRT","Portugal",3,"Azores",38,"Lagoa","PT.AC.LG",NA,"4201","Concelho","Municipality","",""
39,182,"PRT","Portugal",3,"Azores",39,"Lajes das Flores","PT.AC.LF",NA,"","Concelho","Municipality","",""
40,182,"PRT","Portugal",3,"Azores",40,"Lajes do Pico","PT.AC.LP",NA,"","Concelho","Municipality","",""
41,182,"PRT","Portugal",3,"Azores",41,"Madalena","PT.AC.MA",NA,"","Concelho","Municipality","",""
42,182,"PRT","Portugal",3,"Azores",42,"Nordeste","PT.AC.NO",NA,"4202","Concelho","Municipality","",""
43,182,"PRT","Portugal",3,"Azores",43,"Ponta Delgada","PT.AC.PD",NA,"4203","Concelho","Municipality","",""
44,182,"PRT","Portugal",3,"Azores",44,"Povoação","PT.AC.PC",NA,"4204","Concelho","Municipality","",""
45,182,"PRT","Portugal",3,"Azores",45,"Praia da Vitória","PT.AC.PV",NA,"","Concelho","Municipality","",""
46,182,"PRT","Portugal",3,"Azores",46,"Ribeira Grande","PT.AC.RG",NA,"4205","Concelho","Municipality","",""
47,182,"PRT","Portugal",3,"Azores",47,"São Roque do Pico","PT.AC.SP",NA,"","Concelho","Municipality","",""
48,182,"PRT","Portugal",3,"Azores",48,"Santa Cruz da Graciosa","PT.AC.SG",NA,"","Concelho","Municipality","",""
49,182,"PRT","Portugal",3,"Azores",49,"Santa Cruz das Flores","PT.AC.SF",NA,"","Concelho","Municipality","",""
50,182,"PRT","Portugal",3,"Azores",50,"Velas","PT.AC.VE",NA,"","Concelho","Municipality","",""
51,182,"PRT","Portugal",3,"Azores",51,"Vila do Porto","PT.AC.VP",NA,"4101","Concelho","Municipality","",""
52,182,"PRT","Portugal",3,"Azores",52,"Vila Franca do Campo","PT.AC.VC",NA,"4206","Concelho","Municipality","",""
53,182,"PRT","Portugal",4,"Beja",53,"Aljustrel","PT.BE.AJ",NA,"0201","Concelho","Municipality","",""
54,182,"PRT","Portugal",4,"Beja",54,"Almodôvar","PT.BE.AM",NA,"0202","Concelho","Municipality","",""
55,182,"PRT","Portugal",4,"Beja",55,"Alvito","PT.BE.AV",NA,"0203","Concelho","Municipality","",""
56,182,"PRT","Portugal",4,"Beja",56,"Barrancos","PT.BE.BA",NA,"0204","Concelho","Municipality","",""
57,182,"PRT","Portugal",4,"Beja",57,"Beja","PT.BE.BE",NA,"0205","Concelho","Municipality","",""
58,182,"PRT","Portugal",4,"Beja",58,"Castro Verde","PT.BE.CV",NA,"0206","Concelho","Municipality","",""
59,182,"PRT","Portugal",4,"Beja",59,"Cuba","PT.BE.CU",NA,"0207","Concelho","Municipality","",""
60,182,"PRT","Portugal",4,"Beja",60,"Ferreira do Alentejo","PT.BE.FA",NA,"0208","Concelho","Municipality","",""
61,182,"PRT","Portugal",4,"Beja",61,"Mértola","PT.BE.ME",NA,"0209","Concelho","Municipality","",""
62,182,"PRT","Portugal",4,"Beja",62,"Moura","PT.BE.MO",NA,"0210","Concelho","Municipality","",""
63,182,"PRT","Portugal",4,"Beja",63,"Odemira","PT.BE.OD",NA,"0211","Concelho","Municipality","",""
64,182,"PRT","Portugal",4,"Beja",64,"Ourique","PT.BE.OU",NA,"0212","Concelho","Municipality","",""
65,182,"PRT","Portugal",4,"Beja",65,"Serpa","PT.BE.SE",NA,"0213","Concelho","Municipality","",""
66,182,"PRT","Portugal",4,"Beja",66,"Vidigueira","PT.BE.VI",NA,"0214","Concelho","Municipality","",""
67,182,"PRT","Portugal",5,"Braga",67,"Amares","PT.BR.AM",NA,"0301","Concelho","Municipality","",""
68,182,"PRT","Portugal",5,"Braga",68,"Barcelos","PT.BR.BA",NA,"0302","Concelho","Municipality","",""
69,182,"PRT","Portugal",5,"Braga",69,"Braga","PT.BR.BR",NA,"0303","Concelho","Municipality","",""
70,182,"PRT","Portugal",5,"Braga",69,"Braga","PT.BR.BR",NA,"0308","Concelho","Municipality","",""
71,182,"PRT","Portugal",5,"Braga",70,"Cabeceiras de Basto","PT.BR.CB",NA,"0304","Concelho","Municipality","",""
72,182,"PRT","Portugal",5,"Braga",71,"Celorico de Basto","PT.BR.CL",NA,"0305","Concelho","Municipality","",""
73,182,"PRT","Portugal",5,"Braga",72,"Esposende","PT.BR.ES",NA,"0306","Concelho","Municipality","",""
74,182,"PRT","Portugal",5,"Braga",73,"Fafe","PT.BR.FA",NA,"0307","Concelho","Municipality","",""
75,182,"PRT","Portugal",5,"Braga",74,"Póvoa de Lanhoso","PT.BR.PL",NA,"0309","Concelho","Municipality","",""
76,182,"PRT","Portugal",5,"Braga",75,"Terras de Bouro","PT.BR.TB",NA,"0310","Concelho","Municipality","",""
77,182,"PRT","Portugal",5,"Braga",76,"Vieira do Minho","PT.BR.VM",NA,"0311","Concelho","Municipality","",""
78,182,"PRT","Portugal",5,"Braga",77,"Vila Nova de Famalicão","PT.BR.VF",NA,"0312","Concelho","Municipality","",""
79,182,"PRT","Portugal",5,"Braga",78,"Vila Verde","PT.BR.VV",NA,"0313","Concelho","Municipality","",""
80,182,"PRT","Portugal",5,"Braga",79,"Vizela","PT.BR.VZ",NA,"0314","Concelho","Municipality","",""
81,182,"PRT","Portugal",6,"Bragança",80,"Alfândega da Fé","PT.BA.AF",NA,"0401","Concelho","Municipality","",""
82,182,"PRT","Portugal",6,"Bragança",81,"Bragança","PT.BA.BR",NA,"0402","Concelho","Municipality","",""
83,182,"PRT","Portugal",6,"Bragança",82,"Carrazeda de Ansiães","PT.BA.CA",NA,"0403","Concelho","Municipality","",""
84,182,"PRT","Portugal",6,"Bragança",83,"Freixo de Espada à Cinta","PT.BA.FE",NA,"0404","Concelho","Municipality","",""
85,182,"PRT","Portugal",6,"Bragança",84,"Macedo de Cavaleiros","PT.BA.MC",NA,"0405","Concelho","Municipality","",""
86,182,"PRT","Portugal",6,"Bragança",85,"Miranda do Douro","PT.BA.MD",NA,"0406","Concelho","Municipality","",""
87,182,"PRT","Portugal",6,"Bragança",86,"Mirandela","PT.BA.MI",NA,"0407","Concelho","Municipality","",""
88,182,"PRT","Portugal",6,"Bragança",87,"Mogadouro","PT.BA.MO",NA,"0408","Concelho","Municipality","",""
89,182,"PRT","Portugal",6,"Bragança",88,"Torre de Moncorvo","PT.BA.TM",NA,"0409","Concelho","Municipality","",""
90,182,"PRT","Portugal",6,"Bragança",89,"Vila Flor","PT.BA.VF",NA,"0410","Concelho","Municipality","",""
91,182,"PRT","Portugal",6,"Bragança",90,"Vimioso","PT.BA.VM",NA,"0411","Concelho","Municipality","",""
92,182,"PRT","Portugal",6,"Bragança",91,"Vinhais","PT.BA.VN",NA,"0412","Concelho","Municipality","",""
93,182,"PRT","Portugal",7,"Castelo Branco",92,"Belmonte","PT.CB.BE",NA,"0501","Concelho","Municipality","",""
94,182,"PRT","Portugal",7,"Castelo Branco",93,"Castelo Branco","PT.CB.CB",NA,"0502","Concelho","Municipality","",""
95,182,"PRT","Portugal",7,"Castelo Branco",94,"Covilhã","PT.CB.CO",NA,"0503","Concelho","Municipality","",""
96,182,"PRT","Portugal",7,"Castelo Branco",95,"Fundão","PT.CB.FU",NA,"0504","Concelho","Municipality","",""
97,182,"PRT","Portugal",7,"Castelo Branco",96,"Idanha-a-Nova","PT.CB.IN",NA,"0505","Concelho","Municipality","",""
98,182,"PRT","Portugal",7,"Castelo Branco",97,"Oleiros","PT.CB.OL",NA,"0506","Concelho","Municipality","",""
99,182,"PRT","Portugal",7,"Castelo Branco",98,"Penamacor","PT.CB.PE",NA,"0507","Concelho","Municipality","",""
100,182,"PRT","Portugal",7,"Castelo Branco",99,"Proença-a-Nova","PT.CB.PN",NA,"0508","Concelho","Municipality","",""
101,182,"PRT","Portugal",7,"Castelo Branco",100,"Sertã","PT.CB.SE",NA,"0509","Concelho","Municipality","",""
102,182,"PRT","Portugal",7,"Castelo Branco",101,"Vila de Rei","PT.CB.VR",NA,"0510","Concelho","Municipality","",""
103,182,"PRT","Portugal",7,"Castelo Branco",102,"Vila Velha de Ródão","PT.CB.VV",NA,"0511","Concelho","Municipality","",""
104,182,"PRT","Portugal",8,"Coimbra",103,"Arganil","PT.CO.AR",NA,"0601","Concelho","Municipality","",""
105,182,"PRT","Portugal",8,"Coimbra",104,"Cantanhede","PT.CO.CA",NA,"0602","Concelho","Municipality","",""
106,182,"PRT","Portugal",8,"Coimbra",105,"Coimbra","PT.CO.CO",NA,"0603","Concelho","Municipality","",""
107,182,"PRT","Portugal",8,"Coimbra",106,"Condeixa-a-Nova","PT.CO.CN",NA,"0604","Concelho","Municipality","",""
108,182,"PRT","Portugal",8,"Coimbra",107,"Figueira da Foz","PT.CO.FF",NA,"0605","Concelho","Municipality","",""
109,182,"PRT","Portugal",8,"Coimbra",108,"Góis","PT.CO.GO",NA,"0606","Concelho","Municipality","",""
110,182,"PRT","Portugal",8,"Coimbra",109,"Lousã","PT.CO.LO",NA,"0607","Concelho","Municipality","",""
111,182,"PRT","Portugal",8,"Coimbra",110,"Mira","PT.CO.MI",NA,"0608","Concelho","Municipality","",""
112,182,"PRT","Portugal",8,"Coimbra",111,"Miranda do Corvo","PT.CO.MC",NA,"0609","Concelho","Municipality","",""
113,182,"PRT","Portugal",8,"Coimbra",112,"Montemor-o-Velho","PT.CO.MV",NA,"0610","Concelho","Municipality","",""
114,182,"PRT","Portugal",8,"Coimbra",113,"Oliveira do Hospital","PT.CO.OH",NA,"0611","Concelho","Municipality","",""
115,182,"PRT","Portugal",8,"Coimbra",114,"Pampilhosa da Serra","PT.CO.PS",NA,"0612","Concelho","Municipality","",""
116,182,"PRT","Portugal",8,"Coimbra",115,"Penacova","PT.CO.PC",NA,"0613","Concelho","Municipality","",""
117,182,"PRT","Portugal",8,"Coimbra",116,"Penela","PT.CO.PL",NA,"0614","Concelho","Municipality","",""
118,182,"PRT","Portugal",8,"Coimbra",117,"Soure","PT.CO.SO",NA,"0615","Concelho","Municipality","",""
119,182,"PRT","Portugal",8,"Coimbra",118,"Tábua","PT.CO.TA",NA,"0616","Concelho","Municipality","",""
120,182,"PRT","Portugal",8,"Coimbra",119,"Vila Nova de Poiares","PT.CO.VP",NA,"0617","Concelho","Municipality","",""
121,182,"PRT","Portugal",9,"Faro",120,"Albufeira","PT.FA.AB",NA,"0801","Concelho","Municipality","",""
122,182,"PRT","Portugal",9,"Faro",121,"Alcoutim","PT.FA.AC",NA,"0802","Concelho","Municipality","",""
123,182,"PRT","Portugal",9,"Faro",121,"Alcoutim","PT.FA.AC",NA,"0814","Concelho","Municipality","",""
124,182,"PRT","Portugal",9,"Faro",122,"Aljezur","PT.FA.AJ",NA,"0803","Concelho","Municipality","",""
125,182,"PRT","Portugal",9,"Faro",123,"Castro Marim","PT.FA.CM",NA,"0804","Concelho","Municipality","",""
126,182,"PRT","Portugal",9,"Faro",124,"Faro","PT.FA.FA",NA,"0805","Concelho","Municipality","",""
127,182,"PRT","Portugal",9,"Faro",125,"Lagoa","PT.FA.LA",NA,"0806","Concelho","Municipality","",""
128,182,"PRT","Portugal",9,"Faro",126,"Lagos","PT.FA.LS",NA,"0807","Concelho","Municipality","",""
129,182,"PRT","Portugal",9,"Faro",127,"Loulé","PT.FA.LO",NA,"0808","Concelho","Municipality","",""
130,182,"PRT","Portugal",9,"Faro",128,"Monchique","PT.FA.MO",NA,"0809","Concelho","Municipality","",""
131,182,"PRT","Portugal",9,"Faro",129,"Olhão","PT.FA.OL",NA,"0810","Concelho","Municipality","",""
132,182,"PRT","Portugal",9,"Faro",130,"Portimão","PT.FA.PO",NA,"0811","Concelho","Municipality","",""
133,182,"PRT","Portugal",9,"Faro",131,"São Brás de Alportel","PT.FA.SB",NA,"0812","Concelho","Municipality","",""
134,182,"PRT","Portugal",9,"Faro",132,"Silves","PT.FA.SI",NA,"0813","Concelho","Municipality","",""
135,182,"PRT","Portugal",9,"Faro",133,"Vila do Bispo","PT.FA.VB",NA,"0815","Concelho","Municipality","",""
136,182,"PRT","Portugal",9,"Faro",134,"Vila Real de Santo António","PT.FA.VS",NA,"0816","Concelho","Municipality","",""
137,182,"PRT","Portugal",10,"Guarda",135,"Aguiar da Beira","PT.GU.AB",NA,"0901","Concelho","Municipality","",""
138,182,"PRT","Portugal",10,"Guarda",136,"Almeida","PT.GU.AL",NA,"0902","Concelho","Municipality","",""
139,182,"PRT","Portugal",10,"Guarda",137,"Celorico da Beira","PT.GU.CB",NA,"0903","Concelho","Municipality","",""
140,182,"PRT","Portugal",10,"Guarda",138,"Figueira de Castelo Rodrigo","PT.GU.FC",NA,"0904","Concelho","Municipality","",""
141,182,"PRT","Portugal",10,"Guarda",139,"Fornos de Algodres","PT.GU.FA",NA,"0905","Concelho","Municipality","",""
142,182,"PRT","Portugal",10,"Guarda",140,"Gouveia","PT.GU.GO",NA,"0906","Concelho","Municipality","",""
143,182,"PRT","Portugal",10,"Guarda",141,"Guarda","PT.GU.GU",NA,"0907","Concelho","Municipality","",""
144,182,"PRT","Portugal",10,"Guarda",142,"Mêda","PT.GU.ME",NA,"0909","Concelho","Municipality","",""
145,182,"PRT","Portugal",10,"Guarda",143,"Manteigas","PT.GU.MA",NA,"0908","Concelho","Municipality","",""
146,182,"PRT","Portugal",10,"Guarda",144,"Pinhel","PT.GU.PI",NA,"0910","Concelho","Municipality","",""
147,182,"PRT","Portugal",10,"Guarda",145,"Sabugal","PT.GU.SA",NA,"0911","Concelho","Municipality","",""
148,182,"PRT","Portugal",10,"Guarda",146,"Seia","PT.GU.SE",NA,"0912","Concelho","Municipality","",""
149,182,"PRT","Portugal",10,"Guarda",147,"Trancoso","PT.GU.TR",NA,"0913","Concelho","Municipality","",""
150,182,"PRT","Portugal",10,"Guarda",148,"Vila Nova de Foz Côa","PT.GU.VF",NA,"0914","Concelho","Municipality","",""
151,182,"PRT","Portugal",11,"Leiria",149,"Óbidos","PT.LE.OB",NA,"1012","Concelho","Municipality","",""
152,182,"PRT","Portugal",11,"Leiria",150,"Alcobaça","PT.LE.AC",NA,"1001","Concelho","Municipality","",""
153,182,"PRT","Portugal",11,"Leiria",151,"Alvaiázere","PT.LE.AV",NA,"1002","Concelho","Municipality","",""
154,182,"PRT","Portugal",11,"Leiria",152,"Ansião","PT.LE.AN",NA,"1003","Concelho","Municipality","",""
155,182,"PRT","Portugal",11,"Leiria",153,"Batalha","PT.LE.BA",NA,"1004","Concelho","Municipality","",""
